광역지자체,사고[건],사망[명],중상[명],부상[명],인구10만명당사고건수,자동차1만대당사고건수,도로1km당사고건수,인구10만명당사망자수,자동차1만대당사망자수,도로1km당사망자수,인구10만명당중상자수,자동차1만대당중상자수,도로1km당중상자수,인구10만명당부상자수,자동차1만대당부상자수,도로1km당부상자수
서울,"33,913",243,"8,162","45,223",355.4,92.9,4.1,2.5,0.7,0.03,85.5,22.4,1.0,473.9,123.8,5.4
부산,"11,339",113,"3,528","15,457",342.2,70.0,3.3,3.4,0.7,0.03,106.5,21.8,1.0,466.5,95.5,4.5
대구,"12,133",84,"2,977","17,230",504.5,88.5,4.0,3.5,0.6,0.03,123.8,21.7,1.0,716.4,125.7,5.7
인천,"7,912",104,"1,822","10,730",267.6,44.2,2.4,3.5,0.6,0.03,61.6,10.2,0.5,362.9,59.9,3.2
광주,"7,543",49,"1,183","11,489",509.4,99.7,4.0,3.3,0.6,0.03,79.9,15.6,0.6,775.9,151.8,6.1
대전,"7,027",59,"1,570","10,175",471.2,94.6,3.2,4.0,0.8,0.03,105.3,21.1,0.7,682.3,137.0,4.6
울산,"3,801",50,"1,239","5,238",335.6,57.1,1.5,4.4,0.8,0.02,109.4,18.6,0.5,462.4,78.6,2.1
세종,788,16,278,"1,031",215.8,38.5,1.9,4.4,0.8,0.04,76.1,13.6,0.7,282.4,50.4,2.4
경기,"53,332",537,"12,944","78,225",393.5,78.0,3.6,4.0,0.8,0.04,95.5,18.9,0.9,577.1,114.5,5.3
강원,"6,605",145,"2,070","10,221",436.5,67.0,0.7,9.6,1.5,0.02,136.8,21.0,0.2,675.4,103.7,1.0
충북,"7,985",160,"2,677","12,135",487.9,73.9,1.2,9.8,1.5,0.02,163.6,24.8,0.4,741.5,112.2,1.8
충남,"8,423",265,"2,911","12,197",379.5,56.8,1.1,11.9,1.8,0.04,131.2,19.6,0.4,549.6,82.3,1.6
전북,"6,112",193,"1,981","8,906",343.2,50.8,0.7,10.8,1.6,0.02,111.2,16.5,0.2,500.1,74.0,1.0
전남,"8,685",255,"2,467","13,522",494.8,58.2,0.8,14.5,1.7,0.02,140.5,16.5,0.2,770.4,90.6,1.3
경북,"12,100",334,"4,273","17,690",457.4,61.8,0.9,12.6,1.7,0.02,161.5,21.8,0.3,668.7,90.4,1.3
경남,"11,059",257,"4,634","15,414",330.3,50.9,0.9,7.7,1.2,0.02,138.4,21.3,0.4,460.3,70.9,1.2
제주,"4,373",52,"1,189","6,725",643.2,60.7,1.4,7.6,0.7,0.02,174.9,16.5,0.4,989.1,93.4,2.1